net,length_um
clknet_0_clk,243.75µm
net4,222.32µm
net59,207.91µm
net60,201.75µm
net53,196.35µm
net32,190.75µm
net48,185.3µm
net43,183.93µm
net39,182.15µm
clknet_3_6__leaf_clk,176.65µm
net55,165.4µm
net2,164.79µm
net58,162.09µm
net46,161.73µm
clk,159.46µm
net42,155.88µm
net61,150.84µm
net54,146.26µm
clknet_3_7__leaf_clk,144.78µm
net52,137.4µm
net51,135.16µm
clknet_3_0__leaf_clk,133.99µm
net45,132.69µm
net50,132.31µm
net56,131.14µm
net30,130.58µm
net57,128.49µm
clknet_3_4__leaf_clk,126.81µm
clknet_3_1__leaf_clk,126.76µm
net40,126.66µm
offset\[7\],126.1µm
_131_,125.49µm
net31,124.57µm
offset\[6\],122.69µm
clknet_3_3__leaf_clk,120.6µm
net29,119.94µm
clknet_3_2__leaf_clk,118.46µm
net49,113.78µm
net1,112.05µm
clknet_3_5__leaf_clk,109.91µm
offset\[1\],106.55µm
net38,103.8µm
offset\[0\],100.8µm
net5,99.83µm
_243_,98.81µm
offset\[2\],94.23µm
_172_,93.21µm
_175_,91.99µm
net47,91.89µm
u_sar.bit_idx\[3\],91.68µm
sar_result\[9\],91.53µm
u_sar.bit_idx\[0\],91.53µm
_215_,87.41µm
net36,86.34µm
_195_,85.73µm
_204_,85.22µm
offset\[3\],85.22µm
_242_,84.76µm
sar_result\[8\],82.93µm
net28,82.42µm
_137_,81.5µm
_163_,80.13µm
_168_,79.67µm
u_sar.bit_idx\[1\],78.14µm
net34,77.89µm
sar_result\[1\],77.38µm
_301_,76.26µm
_171_,75.65µm
offset\[5\],74.58µm
u_sar.bit_idx\[2\],74.27µm
offset\[4\],74.07µm
sar_result\[6\],74.02µm
_217_,70.1µm
net33,66.84µm
u_sar.state\[0\],66.23µm
u_spi.mosi_reg\[4\],65.06µm
net35,63.94µm
sar_result\[2\],63.38µm
_241_,58.9µm
u_sar.state\[4\],57.73µm
_189_,56.1µm
_105_,55.64µm
u_sar.state\[1\],54.42µm
_167_,53.81µm
_173_,52.84µm
_216_,49.89µm
sar_result\[3\],49.38µm
_333_,48.21µm
u_spi.mosi_reg\[1\],47.75µm
_180_,45.97µm
u_sar.state\[3\],44.95µm
_191_,43.88µm
_201_,43.73µm
_138_,43.22µm
cal_valid,42.71µm
_141_,42.05µm
_192_,41.44µm
_185_,40.37µm
net19,40.37µm
u_spi.bit_cnt\[1\],39.91µm
_144_,39.86µm
_306_,39.3µm
_197_,39.2µm
cal_result\[5\],38.69µm
u_sar.count\[5\],38.18µm
_283_,37.57µm
_288_,37.57µm
u_spi.bit_cnt\[0\],37.52µm
_248_,37.06µm
_112_,36.45µm
_120_,36.45µm
_130_,36.45µm
_198_,36.45µm
_284_,36.45µm
u_sar.count\[0\],35.99µm
u_sar.count\[1\],35.99µm
_132_,34.26µm
u_spi.mosi_reg\[7\],34.26µm
u_spi.mosi_reg\[8\],34.26µm
_246_,34.16µm
offset\[8\],33.09µm
u_sar.count\[4\],31.97µm
u_spi.bit_cnt\[3\],31.97µm
offset\[9\],31.46µm
u_spi.shift_reg\[4\],31.41µm
_320_,31.36µm
_295_,31µm
_244_,30.85µm
net44,30.39µm
_274_,30.34µm
net21,30.34µm
u_spi.mosi_reg\[5\],30.34µm
u_spi.shift_reg\[8\],30.34µm
u_sar.count\[2\],29.93µm
net13,29.78µm
bn2,29.54µm
net37,29.17µm
_184_,28.66µm
u_spi.bit_cnt\[2\],28.66µm
net6,28.61µm
_319_,28.56µm
u_spi.bit_cnt\[4\],28.56µm
_139_,28.05µm
_252_,28.05µm
sar_result\[5\],28.05µm
u_spi.data_latch\[6\],28µm
_193_,27.54µm
_119_,27.49µm
_125_,27.49µm
_187_,26.98µm
sar_valid,26.98µm
u_spi.mosi_reg\[2\],26.98µm
_118_,26.93µm
net15,26.93µm
bp0,26.74µm
mosi,26.55µm
_148_,26.52µm
_290_,26.47µm
_266_,26.42µm
u_spi.mosi_reg\[0\],26.42µm
_178_,26.37µm
_281_,26.37µm
sar_result\[4\],26.37µm
u_spi.data_latch\[9\],26.37µm
u_spi.shift_reg\[7\],26.32µm
_074_,25.81µm
_117_,25.35µm
u_spi.mosi_reg\[3\],25.3µm
_239_,25.25µm
_077_,24.69µm
net10,24.18µm
_332_,24.13µm
net7,24.13µm
cal_result\[0\],23.67µm
_188_,23.57µm
_277_,23.57µm
u_spi.data_latch\[4\],23.57µm
_299_,23.06µm
net9,23.06µm
_150_,23.01µm
net20,22.5µm
_126_,22.45µm
_213_,22.45µm
_043_,22.4µm
cal_result\[8\],22.4µm
bp2,22.26µm
sclk,22.02µm
net18,21.94µm
u_spi.bit_cnt\[5\],21.94µm
u_spi.data_latch\[7\],21.84µm
_003_,21.33µm
net11,21.33µm
net25,21.33µm
bp7,21.14µm
u_spi.mosi_reg\[9\],20.82µm
_249_,20.77µm
_104_,20.72µm
_106_,20.36µm
_251_,20.36µm
_181_,20.26µm
_278_,20.26µm
net12,20.26µm
u_sar.count\[7\],20.26µm
_222_,20.16µm
_303_,20.16µm
_135_,19.7µm
_001_,19.6µm
u_sar.count\[3\],19.6µm
_276_,19.19µm
_293_,19.19µm
net16,19.19µm
u_spi.shift_reg\[0\],19.14µm
u_spi.mosi_reg\[6\],19.09µm
bn0,18.9µm
bn3,18.9µm
bn6,18.9µm
u_spi.shift_reg\[1\],18.63µm
_076_,18.53µm
_123_,18.53µm
net22,18.53µm
_331_,18.48µm
bp3,18.34µm
cs_n,18.1µm
u_sar.count\[6\],18.07µm
_128_,18.02µm
cal_result\[3\],18.02µm
_078_,17.97µm
_256_,17.97µm
net23,17.92µm
bn7,17.78µm
bp6,17.78µm
cal_result\[2\],17.51µm
_056_,17.36µm
_103_,17.36µm
net3,17.36µm
u_spi.data_latch\[5\],17.36µm
u_spi.data_latch\[1\],16.95µm
_275_,16.85µm
net26,16.85µm
u_spi.shift_reg\[9\],16.85µm
_177_,16.8µm
u_spi.data_latch\[2\],16.39µm
u_spi.bit_cnt\[7\],16.34µm
u_spi.data_latch\[8\],16.34µm
_310_,16.29µm
_134_,16.24µm
u_spi.shift_reg\[6\],16.24µm
sar_result\[0\],15.83µm
cal_result\[9\],15.78µm
_286_,15.73µm
u_spi.data_latch\[3\],15.73µm
u_spi.shift_reg\[2\],15.73µm
net24,15.68µm
_113_,15.22µm
_152_,15.22µm
_183_,15.22µm
_160_,15.17µm
_165_,15.17µm
_322_,15.17µm
bn8,14.98µm
_111_,14.66µm
_265_,14.66µm
cal_result\[1\],14.66µm
cal_result\[7\],14.66µm
u_sar.state\[2\],14.66µm
_053_,14.61µm
_314_,14.61µm
u_spi.cs_n_prev,14.61µm
net8,14.56µm
net14,14.56µm
net17,14.1µm
_068_,14.05µm
cal_result\[4\],14.05µm
_282_,14µm
_317_,14µm
bn1,13.86µm
bp9,13.86µm
cal_result\[6\],13.59µm
_258_,13.49µm
_289_,13.49µm
_287_,13.44µm
u_spi.shift_reg\[5\],13.44µm
bp4,13.3µm
_040_,12.93µm
_271_,12.93µm
_099_,12.88µm
_254_,12.88µm
_273_,12.88µm
start,12.74µm
bp5,12.74µm
u_spi.bit_cnt\[6\],12.42µm
u_spi.shift_reg\[3\],12.42µm
_202_,12.37µm
_238_,12.37µm
_325_,12.37µm
_158_,12.32µm
_170_,12.32µm
rst_n,12.18µm
_107_,11.86µm
_230_,11.81µm
_329_,11.81µm
_095_,11.76µm
_297_,11.76µm
bp1,11.62µm
miso,11.38µm
sar_result\[7\],11.3µm
_127_,11.25µm
_292_,11.25µm
_309_,11.25µm
_174_,11.2µm
comp_in,11.06µm
net41,10.74µm
_304_,10.69µm
_014_,10.64µm
_029_,10.64µm
_044_,10.64µm
_046_,10.64µm
_055_,10.64µm
_176_,10.64µm
_237_,10.64µm
_264_,10.64µm
_269_,10.64µm
bn5,10.5µm
bp8,10.5µm
net,10.26µm
_321_,10.18µm
_006_,10.13µm
_042_,10.13µm
_067_,10.13µm
_093_,10.13µm
_161_,10.13µm
_227_,10.08µm
_326_,9.62µm
_063_,9.57µm
_071_,9.57µm
_205_,9.57µm
u_spi.data_latch\[0\],9.57µm
_038_,9.52µm
_253_,9.52µm
_257_,9.52µm
bn4,9.38µm
bn9,9.38µm
_025_,9.01µm
_049_,9.01µm
_156_,8.96µm
_245_,8.96µm
_115_,8.5µm
_218_,8.5µm
_229_,8.5µm
_061_,8.45µm
_064_,8.45µm
_220_,8.45µm
_073_,8.4µm
_080_,8.4µm
_145_,8.4µm
_151_,8.4µm
_255_,8.4µm
_260_,8.4µm
_262_,8.4µm
_062_,7.94µm
_121_,7.94µm
_211_,7.94µm
_316_,7.94µm
_059_,7.89µm
_285_,7.89µm
_308_,7.89µm
net62,7.89µm
_048_,7.84µm
_129_,7.84µm
_186_,7.84µm
_235_,7.84µm
_279_,7.84µm
_311_,7.38µm
_045_,7.33µm
_060_,7.33µm
_065_,7.33µm
_069_,7.33µm
_072_,7.33µm
_084_,7.33µm
_147_,7.33µm
_226_,7.33µm
_298_,7.33µm
_315_,7.33µm
_027_,7.28µm
_036_,7.28µm
_070_,7.28µm
_085_,7.28µm
_094_,7.28µm
_096_,7.28µm
_136_,7.28µm
_200_,7.28µm
_219_,7.28µm
_267_,7.28µm
_272_,7.28µm
_004_,6.77µm
_164_,6.77µm
_330_,6.77µm
_008_,6.72µm
_017_,6.72µm
_030_,6.72µm
_051_,6.72µm
_091_,6.72µm
_101_,6.72µm
_194_,6.72µm
_263_,6.72µm
_302_,6.72µm
_122_,6.26µm
_307_,6.26µm
_323_,6.26µm
_066_,6.21µm
_208_,6.21µm
_270_,6.21µm
_041_,6.16µm
_081_,6.16µm
_102_,6.16µm
_133_,6.16µm
_153_,6.16µm
_232_,6.16µm
_032_,5.7µm
_035_,5.7µm
_214_,5.7µm
_020_,5.65µm
_169_,5.65µm
_259_,5.65µm
_109_,5.6µm
_124_,5.6µm
_154_,5.6µm
_179_,5.6µm
_225_,5.6µm
_268_,5.6µm
_057_,5.14µm
_116_,5.14µm
_019_,5.09µm
_034_,5.09µm
_300_,5.09µm
_054_,5.04µm
_088_,5.04µm
_234_,5.04µm
_296_,5.04µm
_312_,5.04µm
net27,5.04µm
_114_,4.58µm
_206_,4.58µm
_233_,4.58µm
_261_,4.58µm
_221_,4.53µm
_005_,4.48µm
_010_,4.48µm
_011_,4.48µm
_015_,4.48µm
_018_,4.48µm
_052_,4.48µm
_058_,4.48µm
_079_,4.48µm
_087_,4.48µm
_092_,4.48µm
_098_,4.48µm
_190_,4.48µm
_318_,4.48µm
u_sar.state\[5\],4.48µm
_212_,4.02µm
_028_,3.97µm
_002_,3.92µm
_009_,3.92µm
_022_,3.92µm
_026_,3.92µm
_090_,3.92µm
_100_,3.92µm
_143_,3.92µm
_182_,3.92µm
_203_,3.92µm
_228_,3.92µm
_313_,3.92µm
_149_,3.46µm
_223_,3.46µm
_305_,3.46µm
_007_,3.36µm
_016_,3.36µm
_023_,3.36µm
_039_,3.36µm
_086_,3.36µm
_108_,3.36µm
_155_,3.36µm
_166_,3.36µm
_199_,3.36µm
_324_,3.36µm
_291_,2.9µm
_157_,2.85µm
_000_,2.8µm
_024_,2.8µm
_031_,2.8µm
_033_,2.8µm
_037_,2.8µm
_047_,2.8µm
_050_,2.8µm
_075_,2.8µm
_082_,2.8µm
_083_,2.8µm
_089_,2.8µm
_110_,2.8µm
_140_,2.8µm
_207_,2.34µm
_209_,2.34µm
_250_,2.34µm
_327_,2.34µm
_328_,2.34µm
_012_,2.24µm
_013_,2.24µm
_021_,2.24µm
_097_,2.24µm
_146_,2.24µm
_162_,2.24µm
_196_,2.24µm
_210_,2.24µm
_224_,2.24µm
_231_,2.24µm
_247_,2.24µm
_142_,1.78µm
_159_,1.68µm
_280_,1.68µm
_294_,1.68µm
_236_,1.12µm
_240_,1.12µm
